coder_id,coder,jobset,unit_id,unit_status,variable,value,time_question,time_answer,field
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2808,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:26:55.385Z,2024-10-19T17:27:02.721Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2809,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:04.956Z,2024-10-19T17:27:10.767Z,
17164,7lkguFRx_T9M7tlcsPRhcA**,set_70,s2794,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:04.675Z,2024-10-19T17:27:17.625Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2810,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:13.918Z,2024-10-19T17:27:18.131Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2811,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:20.428Z,2024-10-19T17:27:28.545Z,
17164,7lkguFRx_T9M7tlcsPRhcA**,set_70,s2795,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:27:19.627Z,2024-10-19T17:27:25.709Z,
17164,7lkguFRx_T9M7tlcsPRhcA**,set_70,s2796,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:27:28.020Z,2024-10-19T17:27:35.565Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2812,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:31.288Z,2024-10-19T17:27:34.436Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2813,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:37.021Z,2024-10-19T17:27:45.254Z,
17164,7lkguFRx_T9M7tlcsPRhcA**,set_70,s2797,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:27:37.648Z,2024-10-19T17:27:55.351Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2814,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:47.829Z,2024-10-19T17:27:52.732Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2815,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:54.827Z,2024-10-19T17:28:03.280Z,
17164,7lkguFRx_T9M7tlcsPRhcA**,set_70,s2798,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:27:58.128Z,2024-10-19T17:28:12.219Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2816,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:07.992Z,2024-10-19T17:28:11.439Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2817,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:13.785Z,2024-10-19T17:28:16.224Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2818,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:17.961Z,2024-10-19T17:28:20.078Z,
17164,7lkguFRx_T9M7tlcsPRhcA**,set_70,s2799,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:28:17.587Z,2024-10-19T17:28:30.254Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2819,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:22.083Z,2024-10-19T17:28:26.848Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2820,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:29.140Z,2024-10-19T17:28:32.553Z,
17164,7lkguFRx_T9M7tlcsPRhcA**,set_70,s2800,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:28:32.741Z,2024-10-19T17:28:37.904Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2821,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:35.057Z,2024-10-19T17:28:37.366Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2822,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:39.690Z,2024-10-19T17:28:41.789Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2823,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:43.819Z,2024-10-19T17:28:49.067Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2824,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:50.946Z,2024-10-19T17:28:54.013Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2825,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:56.080Z,2024-10-19T17:28:57.787Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2826,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:28:59.864Z,2024-10-19T17:29:07.884Z,
